CN,AS,MKP,SOP,MS,COND,TEMP
0.4,4.6,1.6,1,1.8,2.36,73.2
2.2,2.8,3.8,3,2.6,3.22,72.9
1.4,1,4.8,2.2,4.2,2.68,73.2
0.4,4.8,2.4,4.6,2.6,3.26,72
2,2.6,5,4.2,0.6,3.1,72.5
5,3.4,2.2,2.2,2.4,4.04,70.9
2.6,1.4,0.6,1.4,4.6,2.76,71.6
2,2.8,3.2,3.4,2,3.13,70.9
5,4.4,4,2,2.4,4.38,71.6
4.8,3.2,4.4,2.4,2.8,4.22,71.2
4.4,4.6,2.6,1.8,3.8,4.28,71.8
3,0.4,1.2,1.2,5,2.8,71.1
0.8,5,1.4,2.8,4.2,3.33,71.8
5,4.6,4.2,3.2,1,4.45,71.2
1.8,2.6,1.4,3.6,3.8,3.11,70.9
3,4.4,1.2,4.2,4.8,4.19,71.2
1.4,2,3.8,1,3.6,2.58,70.2
2,3.8,2.4,4.2,4.4,3.79,71.1
3.8,1.6,1.8,1.4,4.2,3.27,70
2.6,0.4,3.4,2,0.4,2.08,70.7
1.8,4.6,4.6,3.8,4.2,3.99,70
3.6,2.8,4.4,0.4,4.4,3.56,71.4
2.8,2.4,1,1.6,1.8,2.66,71.1
4.4,4.2,5,3,2.2,4.26,71.6
0.6,3.2,4.2,1.4,4.4,2.8,71.2
2.4,0.8,4,1.6,1.2,2.36,72.3
2.4,0.6,4.8,2.4,1.8,2.63,72.3
4.8,5,5,1.4,3.2,4.53,72.5
2.4,1.8,3,1.4,2,2.56,72.5
4.8,3.8,1,1.4,4.6,4.07,73
3.2,5,4,3.8,2.6,4.18,72.7
5,3.8,2.8,0.8,1.4,3.79,72.7
3.8,1,4.4,4,2.8,3.58,72.3
3.6,3.8,1,2.8,1.2,3.35,72.1
3.8,3.6,5,2.8,0.4,3.64,72.1
2.6,0.6,3.4,1.8,4.2,2.82,72
2,2.8,1.8,2.4,2.8,2.86,72.3
4,1.8,2.2,3.2,0.8,3.18,72.3
2.8,2.2,3.6,2.6,2,3.04,73.4
4,4,3,0.4,4,3.76,73.2
4.4,3.2,2.2,1.4,3,3.64,73.2
1.2,4.4,1.2,1,0.4,2.17,73.2
1.2,2.4,2.6,4.8,4.8,3.34,73.2
2.8,1,2.8,1.6,3.2,2.71,73.2
0.8,0.8,2,3,0.8,1.603,72.7
4.2,1.4,3.6,2.4,3.6,3.61,72
3.8,3.6,3.4,1,1.8,3.44,72.3
5,4,2.8,4.8,2.6,4.66,71.8
4.2,4.6,1.4,0.8,1.6,3.56,72.3
2.2,4.4,2.6,1.2,2,3.12,72.1
